regime_code,regime_label,n,percent,exemplars,summary_phrase
A,anisotropic expansion,8,61.5,"BLAD/TCC, Brain/MB, PB/B-ALL","anisotropic expansion: 8 of 13 comparisons (61.5%). Representative cases include BLAD/TCC, Brain/MB, PB/B-ALL."
B,compression / canalization,2,15.4,"PA/PAAD, KID/RCC","compression / canalization: 2 of 13 comparisons (15.4%). Representative cases include PA/PAAD, KID/RCC."
C,uniform expansion,3,23.1,"BR/BRAD, Brain/GBM, COL/COADREAD","uniform expansion: 3 of 13 comparisons (23.1%). Representative cases include BR/BRAD, Brain/GBM, COL/COADREAD."
